Model,MAE,MSE,RMSE,R2
Polynomial Regression (degree 2),714540.7337032394,803331726308.1992,896287.7474941846,0.9943593305244359
Random Forest Regressor,1474882.0833333333,3902733461869.2124,1975533.7157004464,0.9725965889448979
Linear Regression,2188736.34370382,8454330868276.576,2907633.2073142543,0.9406371185112243
Decision Tree Regressor,2454538.263819514,9344365521952.238,3056855.4957590387,0.934387656254512
Scratch Linear Regression (Area only),6008382.406257716,57161898244305.086,7560548.8057617275,0.5986323407470491
