Segment,SegmentName,Rows,Accuracy,Precision,Recall,F1,ROC_AUC,BestParams
0,Premium Loyalists,136,0.9705882352941176,0.75,1.0,0.8571428571428571,1.0,"{'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}"
1,Growth Accounts,130,0.9090909090909091,0.5714285714285714,1.0,0.7272727272727273,0.9827586206896552,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}"
2,At-Risk New Customers,115,0.896551724137931,0.5,1.0,0.6666666666666666,1.0,"{'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}"
3,Budget Conscious,119,0.9333333333333333,0.6,1.0,0.75,0.9876543209876543,"{'max_depth': 3, 'min_samples_leaf': 3, 'n_estimators': 100}"
